newton02,CR7 Meeting,09-11-2023,09-12-2023,00:00,00:00,desc,10,3,UNDONE,2023-10-10_1696768279939.jpg
newton02,Trash Penaldo Meeting,09-11-2023,09-12-2023,12:00,12:00,desc,10,0,UNDONE,true-ronaldo.jpg
newton02,ไปเที่ยว ดวงจันทร์,07-11-2023,09-12-2023,08:30,16:45,desc,10,1,UNDONE,2023-09-21_1695313426460.png
nate,tremty,20-11-2023,12-11-2023,12:00,12:00,description,10,0,UNDONE,2023-10-07_1696680525205.png
wasd,Karina's concert,12-11-2023,11-11-2023,22:00,19:30,Karina's concerts,100,2,UNDONE,2023-10-11_1697040801869.jpg
jett,VALORANT Challengers 2024,14-03-2024,04-01-2024,00:00,00:00,Part of the VCT OFF//SEASON Riot's 2024 tournament circuit,1000,3,UNDONE,VALORANT Challengers 2024_pic.jpg
jett,Red Bull Home Ground,04-11-2023,06-11-2023,20:00,23:59,Ryōgoku Kokugikan Tokyo Riot's 2024 post-season tournament circuit,500,3,UNDONE,Red Bull Home Ground_pic.png
jett,ESL Thailand Championship 2024,23-11-2024,07-12-2024,09:00,23:00,online Thai tournament organized by ESL.,500,2,UNDONE,ESL Thailand Championship 2024_pic.png
Messi007,The Goat,18-10-2023,18-10-2023,00:00,00:00,งาน meeting สำหรับคนรัก Messi ไม่ต้อนรับติ่งโด้,10,6,UNDONE,The Goat_pic.jpg
RattaRathalos,MonHun ล่าแย้กัน,28-10-2023,28-10-2023,08:00,20:00,งาน Event ตีแย้ 4 ตี้ ตี้ละ 4 คน เตรียมยามาดี ๆ นะจ๊ะ,16,15,UNDONE,MonHun ล่าแย้กัน_pic.jpg
Jennica,รักสุขภาพกับหมอ Zeed,18-10-2023,18-10-2023,10:00,22:00,เชิญชวนทุกท่านที่รักในการรักษาสุขภาพร่วมสัมนากับหมอซี๊ด,5,5,UNDONE,รักสุขภาพกับหมอ Zeed_pic.jpg
หนุ่มกะลา,WINTER SONG CONCERT NUM KALA,18-10-2024,19-10-2024,18:00,05:00,PRESENTED BY LALANTA CAMPING & CAFE,30,2,UNDONE,numkala.jpg
